s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 1.7200000E+002, 8.0000004E-003, 1.4080348E+002, 5.9120613E+001
 1.7300000E+002, 8.0000004E-003, 1.4108069E+002, 5.9453362E+001
 1.7400000E+002, 8.0000004E-003, 1.4135703E+002, 5.9786228E+001
 1.7500000E+002, 8.0000004E-003, 1.4163251E+002, 6.0119198E+001
 1.7600000E+002, 8.0000004E-003, 1.4190720E+002, 6.0452263E+001
 1.7700000E+002, 8.0000004E-003, 1.4218103E+002, 6.0785412E+001
 1.7800000E+002, 8.0000004E-003, 1.4245404E+002, 6.1118637E+001
 1.7900000E+002, 8.0000004E-003, 1.4272629E+002, 6.1451927E+001
 1.8000000E+002, 8.0000004E-003, 1.4299773E+002, 6.1785275E+001
 1.8100000E+002, 8.0000004E-003, 1.4326837E+002, 6.2118668E+001
 1.8200000E+002, 8.0000004E-003, 1.4353825E+002, 6.2452095E+001
 1.8300000E+002, 8.0000004E-003, 1.4380737E+002, 6.2785557E+001
 1.8400000E+002, 8.0000004E-003, 1.4407571E+002, 6.3119034E+001
 1.8500000E+002, 8.0000004E-003, 1.4434335E+002, 6.3452522E+001
 1.8600000E+002, 8.0000004E-003, 1.4461023E+002, 6.3786015E+001
 1.8700000E+002, 8.0000004E-003, 1.4487637E+002, 6.4119499E+001
 1.8800000E+002, 8.0000004E-003, 1.4514183E+002, 6.4452972E+001
 1.8900000E+002, 8.0000004E-003, 1.4540656E+002, 6.4786423E+001
 1.9000000E+002, 8.0000004E-003, 1.4567056E+002, 6.5119850E+001
 1.9100000E+002, 8.0000004E-003, 1.4593390E+002, 6.5453232E+001
 1.9200000E+002, 8.0000004E-003, 1.4619653E+002, 6.5786575E+001
 1.9300000E+002, 8.0000004E-003, 1.4645847E+002, 6.6119865E+001
 1.9400000E+002, 8.0000004E-003, 1.4671977E+002, 6.6453102E+001
 1.9500000E+002, 8.0000004E-003, 1.4698038E+002, 6.6786270E+001
 1.9600000E+002, 8.0000004E-003, 1.4724031E+002, 6.7119362E+001
 1.9700000E+002, 8.0000004E-003, 1.4749963E+002, 6.7452385E+001
 1.9800000E+002, 8.0000004E-003, 1.4775829E+002, 6.7785316E+001
 1.9900000E+002, 8.0000004E-003, 1.4801628E+002, 6.8118156E+001
 2.0000000E+002, 8.0000004E-003, 1.4827368E+002, 6.8450905E+001
 2.0100000E+002, 8.0000004E-003, 1.4853044E+002, 6.8783546E+001
 2.0200000E+002, 8.0000004E-003, 1.4878656E+002, 6.9116074E+001
 2.0300000E+002, 8.0000004E-003, 1.4904211E+002, 6.9448494E+001
 2.0400000E+002, 8.0000004E-003, 1.4929703E+002, 6.9780785E+001
 2.0500000E+002, 8.0000004E-003, 1.4955135E+002, 7.0112953E+001
 2.0600000E+002, 8.0000004E-003, 1.4980508E+002, 7.0444992E+001
 2.0700000E+002, 8.0000004E-003, 1.5005821E+002, 7.0776894E+001
 2.0800000E+002, 8.0000004E-003, 1.5031075E+002, 7.1108650E+001
 2.0900000E+002, 8.0000004E-003, 1.5056273E+002, 7.1440262E+001
 2.1000000E+002, 8.0000004E-003, 1.5081412E+002, 7.1771721E+001
 2.1100000E+002, 8.0000004E-003, 1.5106493E+002, 7.2103020E+001
 2.1200000E+002, 8.0000004E-003, 1.5131522E+002, 7.2434158E+001
 2.1300000E+002, 8.0000004E-003, 1.5156491E+002, 7.2765129E+001
 2.1400000E+002, 8.0000004E-003, 1.5181404E+002, 7.3095932E+001
 2.1500000E+002, 8.0000004E-003, 1.5206267E+002, 7.3426552E+001
 2.1600000E+002, 8.0000004E-003, 1.5231071E+002, 7.3756996E+001
 2.1700000E+002, 8.0000004E-003, 1.5255823E+002, 7.4087257E+001
 2.1800000E+002, 8.0000004E-003, 1.5280524E+002, 7.4417328E+001
 2.1900000E+002, 8.0000004E-003, 1.5305168E+002, 7.4747208E+001
 2.2000000E+002, 8.0000004E-003, 1.5329761E+002, 7.5076889E+001
 2.2100000E+002, 8.0000004E-003, 1.5354303E+002, 7.5406364E+001
 2.2200000E+002, 8.0000004E-003, 1.5378792E+002, 7.5735641E+001
 2.2300000E+002, 8.0000004E-003, 1.5403229E+002, 7.6064705E+001
 2.2400000E+002, 8.0000004E-003, 1.5427617E+002, 7.6393562E+001
 2.2500000E+002, 8.0000004E-003, 1.5451953E+002, 7.6722206E+001
 2.2600000E+002, 8.0000004E-003, 1.5476237E+002, 7.7050621E+001
 2.2700000E+002, 8.0000004E-003, 1.5500475E+002, 7.7378822E+001
 2.2800000E+002, 8.0000004E-003, 1.5524661E+002, 7.7706795E+001
 2.2900000E+002, 8.0000004E-003, 1.5548798E+002, 7.8034538E+001
 2.3000000E+002, 8.0000004E-003, 1.5572890E+002, 7.8362045E+001
 2.3100000E+002, 8.0000004E-003, 1.5596930E+002, 7.8689323E+001
 2.3200000E+002, 8.0000004E-003, 1.5620923E+002, 7.9016357E+001
 2.3300000E+002, 8.0000004E-003, 1.5644870E+002, 7.9343155E+001
 2.3400000E+002, 8.0000004E-003, 1.5668768E+002, 7.9669701E+001
 2.3500000E+002, 8.0000004E-003, 1.5692618E+002, 7.9996010E+001
 2.3600000E+002, 8.0000004E-003, 1.5716425E+002, 8.0322060E+001
 2.3700000E+002, 8.0000004E-003, 1.5740184E+002, 8.0647858E+001
 2.3800000E+002, 8.0000004E-003, 1.5763895E+002, 8.0973404E+001
 2.3900000E+002, 8.0000004E-003, 1.5787564E+002, 8.1298691E+001
 2.4000000E+002, 8.0000004E-003, 1.5811185E+002, 8.1623711E+001
 2.4100000E+002, 8.0000004E-003, 1.5834760E+002, 8.1948479E+001
 2.4200000E+002, 8.0000004E-003, 1.5858292E+002, 8.2272972E+001
 2.4300000E+002, 8.0000004E-003, 1.5881778E+002, 8.2597198E+001
 2.4400000E+002, 8.0000004E-003, 1.5905220E+002, 8.2921158E+001
 2.4500000E+002, 8.0000004E-003, 1.5928621E+002, 8.3244843E+001
 2.4600000E+002, 8.0000004E-003, 1.5951974E+002, 8.3568253E+001
 2.4700000E+002, 8.0000004E-003, 1.5975285E+002, 8.3891380E+001
 2.4800000E+002, 8.0000004E-003, 1.5998557E+002, 8.4214233E+001
 2.4900000E+002, 8.0000004E-003, 1.6021782E+002, 8.4536804E+001
 2.5000000E+002, 8.0000004E-003, 1.6044963E+002, 8.4859093E+001
 2.5100000E+002, 8.0000004E-003, 1.6068105E+002, 8.5181099E+001
 2.5200000E+002, 8.0000004E-003, 1.6091203E+002, 8.5502815E+001
 2.5300000E+002, 8.0000004E-003, 1.6114258E+002, 8.5824242E+001
 2.5400000E+002, 8.0000004E-003, 1.6137274E+002, 8.6145370E+001
 2.5500000E+002, 8.0000004E-003, 1.6160246E+002, 8.6466217E+001
 2.5600000E+002, 8.0000004E-003, 1.6183176E+002, 8.6786758E+001
 2.5700000E+002, 8.0000004E-003, 1.6206068E+002, 8.7107010E+001
 2.5800000E+002, 8.0000004E-003, 1.6228917E+002, 8.7426964E+001
 2.5900000E+002, 8.0000004E-003, 1.6251724E+002, 8.7746620E+001
 2.6000000E+002, 8.0000004E-003, 1.6274493E+002, 8.8065971E+001
 2.6100000E+002, 8.0000004E-003, 1.6297221E+002, 8.8385017E+001
 2.6200000E+002, 8.0000004E-003, 1.6319908E+002, 8.8703758E+001
 2.6300000E+002, 8.0000004E-003, 1.6342558E+002, 8.9022194E+001
 2.6400000E+002, 8.0000004E-003, 1.6365167E+002, 8.9340324E+001
 2.6500000E+002, 8.0000004E-003, 1.6387735E+002, 8.9658150E+001
 2.6600000E+002, 8.0000004E-003, 1.6410266E+002, 8.9975655E+001
 2.6700000E+002, 8.0000004E-003, 1.6432756E+002, 9.0292854E+001
 2.6800000E+002, 8.0000004E-003, 1.6455206E+002, 9.0609741E+001
 2.6900000E+002, 8.0000004E-003, 1.6477621E+002, 9.0926315E+001
 2.7000000E+002, 8.0000004E-003, 1.6499994E+002, 9.1242569E+001
 2.7100000E+002, 8.0000004E-003, 1.6522328E+002, 9.1558510E+001
 2.7200000E+002, 8.0000004E-003, 1.6544627E+002, 9.1874130E+001
 2.7300000E+002, 8.0000004E-003, 1.6566885E+002, 9.2189430E+001
 2.7400000E+002, 8.0000004E-003, 1.6589105E+002, 9.2504417E+001
 2.7500000E+002, 8.0000004E-003, 1.6611292E+002, 9.2819077E+001
 2.7600000E+002, 8.0000004E-003, 1.6633437E+002, 9.3133415E+001
 2.7700000E+002, 8.0000004E-003, 1.6655544E+002, 9.3447426E+001
 2.7800000E+002, 8.0000004E-003, 1.6677617E+002, 9.3761116E+001
 2.7900000E+002, 8.0000004E-003, 1.6699651E+002, 9.4074478E+001
 2.8000000E+002, 8.0000004E-003, 1.6721646E+002, 9.4387520E+001
 2.8100000E+002, 8.0000004E-003, 1.6743608E+002, 9.4700226E+001
 2.8200000E+002, 8.0000004E-003, 1.6765532E+002, 9.5012604E+001
 2.8300000E+002, 8.0000004E-003, 1.6787416E+002, 9.5324661E+001
 2.8400000E+002, 8.0000004E-003, 1.6809268E+002, 9.5636383E+001
 2.8500000E+002, 8.0000004E-003, 1.6831082E+002, 9.5947769E+001
 2.8600000E+002, 8.0000004E-003, 1.6852858E+002, 9.6258827E+001
 2.8700000E+002, 8.0000004E-003, 1.6874602E+002, 9.6569550E+001
 2.8800000E+002, 8.0000004E-003, 1.6896306E+002, 9.6879944E+001
 2.8900000E+002, 8.0000004E-003, 1.6917973E+002, 9.7190002E+001
 2.9000000E+002, 8.0000004E-003, 1.6939610E+002, 9.7499725E+001
 2.9100000E+002, 8.0000004E-003, 1.6961208E+002, 9.7809113E+001
 2.9200000E+002, 8.0000004E-003, 1.6982770E+002, 9.8118156E+001
 2.9300000E+002, 8.0000004E-003, 1.7004300E+002, 9.8426872E+001
 2.9400000E+002, 8.0000004E-003, 1.7025792E+002, 9.8735245E+001
 2.9500000E+002, 8.0000004E-003, 1.7047247E+002, 9.9043282E+001
 2.9600000E+002, 8.0000004E-003, 1.7068672E+002, 9.9350975E+001
 2.9700000E+002, 8.0000004E-003, 1.7090059E+002, 9.9658333E+001
 2.9800000E+002, 8.0000004E-003, 1.7111411E+002, 9.9965347E+001
 2.9900000E+002, 8.0000004E-003, 1.7132730E+002, 1.0027203E+002
 3.0000000E+002, 8.0000004E-003, 1.7154013E+002, 1.0057836E+002
 3.0100000E+002, 8.0000004E-003, 1.7175261E+002, 1.0088435E+002
 3.0200000E+002, 8.0000004E-003, 1.7196477E+002, 1.0118999E+002
 3.0300000E+002, 8.0000004E-003, 1.7217656E+002, 1.0149530E+002
 3.0400000E+002, 8.0000004E-003, 1.7238800E+002, 1.0180026E+002
 3.0500000E+002, 8.0000004E-003, 1.7259914E+002, 1.0210488E+002
 3.0600000E+002, 8.0000004E-003, 1.7280992E+002, 1.0240916E+002
 3.0700000E+002, 8.0000004E-003, 1.7302034E+002, 1.0271308E+002
 3.0800000E+002, 8.0000004E-003, 1.7323047E+002, 1.0301666E+002
 3.0900000E+002, 8.0000004E-003, 1.7344023E+002, 1.0331990E+002
 3.1000000E+002, 8.0000004E-003, 1.7364966E+002, 1.0362279E+002
 3.1100000E+002, 8.0000004E-003, 1.7385876E+002, 1.0392533E+002
 3.1200000E+002, 8.0000004E-003, 1.7406754E+002, 1.0422752E+002
 3.1300000E+002, 8.0000004E-003, 1.7427594E+002, 1.0452937E+002
 3.1400000E+002, 8.0000004E-003, 1.7448407E+002, 1.0483087E+002
 3.1500000E+002, 8.0000004E-003, 1.7469182E+002, 1.0513202E+002
 3.1600000E+002, 8.0000004E-003, 1.7489925E+002, 1.0543282E+002
 3.1700000E+002, 8.0000004E-003, 1.7510637E+002, 1.0573328E+002
