s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 2.5400000E+002, 8.0000004E-003, 1.6163272E+002, 8.5732208E+001
 2.5500000E+002, 8.0000004E-003, 1.6186070E+002, 8.6051422E+001
 2.5600000E+002, 8.0000004E-003, 1.6208827E+002, 8.6370346E+001
 2.5700000E+002, 8.0000004E-003, 1.6231544E+002, 8.6688972E+001
 2.5800000E+002, 8.0000004E-003, 1.6254219E+002, 8.7007309E+001
 2.5900000E+002, 8.0000004E-003, 1.6276852E+002, 8.7325340E+001
 2.6000000E+002, 8.0000004E-003, 1.6299449E+002, 8.7643082E+001
 2.6100000E+002, 8.0000004E-003, 1.6322003E+002, 8.7960510E+001
 2.6200000E+002, 8.0000004E-003, 1.6344516E+002, 8.8277641E+001
 2.6300000E+002, 8.0000004E-003, 1.6366992E+002, 8.8594475E+001
 2.6400000E+002, 8.0000004E-003, 1.6389427E+002, 8.8910995E+001
 2.6500000E+002, 8.0000004E-003, 1.6411821E+002, 8.9227211E+001
 2.6600000E+002, 8.0000004E-003, 1.6434180E+002, 8.9543114E+001
 2.6700000E+002, 8.0000004E-003, 1.6456497E+002, 8.9858711E+001
 2.6800000E+002, 8.0000004E-003, 1.6478773E+002, 9.0173996E+001
 2.6900000E+002, 8.0000004E-003, 1.6501016E+002, 9.0488968E+001
 2.7000000E+002, 8.0000004E-003, 1.6523216E+002, 9.0803627E+001
 2.7100000E+002, 8.0000004E-003, 1.6545378E+002, 9.1117973E+001
 2.7200000E+002, 8.0000004E-003, 1.6567505E+002, 9.1431999E+001
 2.7300000E+002, 8.0000004E-003, 1.6589590E+002, 9.1745712E+001
 2.7400000E+002, 8.0000004E-003, 1.6611638E+002, 9.2059105E+001
 2.7500000E+002, 8.0000004E-003, 1.6633652E+002, 9.2372177E+001
 2.7600000E+002, 8.0000004E-003, 1.6655624E+002, 9.2684929E+001
 2.7700000E+002, 8.0000004E-003, 1.6677559E+002, 9.2997360E+001
 2.7800000E+002, 8.0000004E-003, 1.6699461E+002, 9.3309471E+001
 2.7900000E+002, 8.0000004E-003, 1.6721323E+002, 9.3621254E+001
 2.8000000E+002, 8.0000004E-003, 1.6743147E+002, 9.3932716E+001
 2.8100000E+002, 8.0000004E-003, 1.6764937E+002, 9.4243843E+001
 2.8200000E+002, 8.0000004E-003, 1.6786688E+002, 9.4554649E+001
