Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,r0-qIgn,p0-rho,p1-rho,
120,89360.5382,1.16e+12,1.0,0.0,1085.2162318680541,1087.8252049729201,0.011387547758300576,0.18793193804429917,1.78e+05,99997.55091264549,33067.14714925255,100000000.0,1.54624263516953e-07,0.7338086749851456,0.9415505542876701,0.94,0.3162751305399283,0.08622609050546798,2.8618348298569947e-05,0.0002939789634410966,0.9850301628074424,0.0,20.386957715339683,1683.0,1235.0,
121,89526.3282,1.16e+12,1.0,0.0,1085.2162318680541,1087.8252049729201,0.011387547758300576,0.18793193804429917,1.78e+05,99997.55091264549,33067.14714925255,100000000.0,1.54624263516953e-07,0.7338086749851456,0.9415505542876701,0.94,0.3162751305399283,0.08622609050546798,2.8618348298569947e-05,0.0002939789634410966,0.9850301628074424,0.0,20.386957715339683,1683.0,1235.0,
122,89684.9476,1.16e+12,1.0,0.0,1085.2389087472652,1087.627323954202,0.011368887056379905,0.18822448561844166,1.78e+05,100002.47789752786,33086.32641943077,100000000.0,1.5458794794413977e-07,0.7338086749851456,0.9415618206402376,0.94,0.31628233681393386,0.08623576887663734,2.8611284353384095e-05,0.000293986553259846,0.9850555140338539,0.0,20.387243651144033,1683.0,1235.0,
123,89845.9257,1.16e+12,1.0,0.0,1085.2389087472652,1087.627323954202,0.011368887056379905,0.18822448561844166,1.78e+05,100002.47789752786,33086.32641943077,100000000.0,1.5458794794413977e-07,0.7338086749851456,0.9415618206402376,0.94,0.31628233681393386,0.08623576887663734,2.8611284353384095e-05,0.000293986553259846,0.9850555140338539,0.0,20.387243651144033,1683.0,1235.0,
124,90007.3090,1.16e+12,1.0,0.0,1085.2389087472652,1087.627323954202,0.011368887056379905,0.18822448561844166,1.78e+05,100002.47789752786,33086.32641943077,100000000.0,1.5458794794413977e-07,0.7338086749851456,0.9415618206402376,0.94,0.31628233681393386,0.08623576887663734,2.8611284353384095e-05,0.000293986553259846,0.9850555140338539,0.0,20.387243651144033,1683.0,1235.0,
125,90175.1752,1.16e+12,1.0,0.0,1085.2389087472652,1087.627323954202,0.011368887056379905,0.18822448561844166,1.78e+05,100002.47789752786,33086.32641943077,100000000.0,1.5458794794413977e-07,0.7338086749851456,0.9415618206402376,0.94,0.31628233681393386,0.08623576887663734,2.8611284353384095e-05,0.000293986553259846,0.9850555140338539,0.0,20.387243651144033,1683.0,1235.0,
126,90341.1515,1.16e+12,1.0,0.0,1085.2389087472652,1087.627323954202,0.011368887056379905,0.18822448561844166,1.78e+05,100002.47789752786,33086.32641943077,100000000.0,1.5458794794413977e-07,0.7338086749851456,0.9415618206402376,0.94,0.31628233681393386,0.08623576887663734,2.8611284353384095e-05,0.000293986553259846,0.9850555140338539,0.0,20.387243651144033,1683.0,1235.0,
127,90505.6907,1.16e+12,1.0,0.0,1085.2389087472652,1087.627323954202,0.011368887056379905,0.18822448561844166,1.78e+05,100002.47789752786,33086.32641943077,100000000.0,1.5458794794413977e-07,0.7338086749851456,0.9415618206402376,0.94,0.31628233681393386,0.08623576887663734,2.8611284353384095e-05,0.000293986553259846,0.9850555140338539,0.0,20.387243651144033,1683.0,1235.0,
128,90665.6686,1.16e+12,1.0,0.0,1085.2389087472652,1087.627323954202,0.011368887056379905,0.18822448561844166,1.78e+05,100002.47789752786,33086.32641943077,100000000.0,1.5458794794413977e-07,0.7338086749851456,0.9415618206402376,0.94,0.31628233681393386,0.08623576887663734,2.8611284353384095e-05,0.000293986553259846,0.9850555140338539,0.0,20.387243651144033,1683.0,1235.0,
129,90831.0985,1.16e+12,1.0,0.0,1085.2389087472652,1087.627323954202,0.011368887056379905,0.18822448561844166,1.78e+05,100002.47789752786,33086.32641943077,100000000.0,1.5458794794413977e-07,0.7338086749851456,0.9415618206402376,0.94,0.31628233681393386,0.08623576887663734,2.8611284353384095e-05,0.000293986553259846,0.9850555140338539,0.0,20.387243651144033,1683.0,1235.0,
