Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,r0-Xi,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
90,3952.1008,4.96e+10,1.0,1962.6041126677455,1.56e+05,822513.4849929593,965.2885110168638,1.407707346302884e-06,0.0,0.8084921856983408,0.25912750754061126,0.9568522422009579,0.0,1189.37,
91,4000.8942,4.96e+10,1.0,1961.6384369027392,1.56e+05,822057.2144579126,965.6889647741217,1.4068627561320489e-06,0.0,0.8082830009652617,0.2589993291089351,0.9568936346049064,0.0,1189.37,
92,4056.2376,4.96e+10,1.0,1961.6384369027392,1.56e+05,822057.2144579126,965.6889647741217,1.4068627561320489e-06,0.0,0.8082830009652617,0.2589993291089351,0.9568936346049064,0.0,1189.37,
93,4106.1361,4.96e+10,1.0,1961.8835074365682,1.56e+05,822176.0485711165,965.6181795679438,1.4052064521415238e-06,0.0,0.8083649544610675,0.2590419953957381,0.9569237315423091,0.0,1189.37,
94,4159.1624,4.96e+10,1.0,1962.411050451687,1.56e+05,822422.7096820485,965.344062746368,1.402956086524143e-06,0.0,0.8084337470714036,0.25913294992088537,0.9568038491929697,0.0,1189.37,
95,4207.5564,4.96e+10,1.0,1961.7583172931581,1.56e+05,822100.1561998954,965.4027007689435,1.39644920340811e-06,0.0,0.8081427866761386,0.25911854639116194,0.9565183792329958,0.0,1189.37,
96,4258.9693,4.96e+10,1.0,1959.1699370957067,1.56e+05,820815.9618944244,966.0363627049667,1.390509788450696e-06,0.0,0.8074107573242992,0.2587965168023082,0.9564200997598193,0.0,1189.37,
97,4309.2821,4.96e+10,1.0,1959.1699370957067,1.56e+05,820815.9618944244,966.0363627049667,1.390509788450696e-06,0.0,0.8074107573242992,0.2587965168023082,0.9564200997598193,0.0,1189.37,
98,4360.4347,4.96e+10,1.0,1959.1699370957067,1.56e+05,820815.9618944244,966.0363627049667,1.390509788450696e-06,0.0,0.8074107573242992,0.2587965168023082,0.9564200997598193,0.0,1189.37,
99,4411.8475,4.96e+10,1.0,1958.4244521357423,1.56e+05,820503.3878559917,966.6313137226695,1.389347444772788e-06,0.0,0.8073721281035073,0.2586864601581757,0.9566028610816799,0.0,1189.37,
100,4463.8779,4.96e+10,1.0,1958.4244521357423,1.56e+05,820503.3878559917,966.6313137226695,1.389347444772788e-06,0.0,0.8073721281035073,0.2586864601581757,0.9566028610816799,0.0,1189.37,
101,4511.9727,4.96e+10,1.0,1957.5229036224914,1.56e+05,820092.533411349,967.1143553245932,1.3889512037279334e-06,0.0,0.8072304337718499,0.2585672498524084,0.956706877326619,0.0,1189.37,
102,4567.7615,4.96e+10,1.0,1957.5229036224914,1.56e+05,820092.533411349,967.1143553245932,1.3889512037279334e-06,0.0,0.8072304337718499,0.2585672498524084,0.956706877326619,0.0,1189.37,
103,4617.4677,4.96e+10,1.0,1957.5229036224914,1.56e+05,820092.533411349,967.1143553245932,1.3889512037279334e-06,0.0,0.8072304337718499,0.2585672498524084,0.956706877326619,0.0,1189.37,
104,4671.9213,4.96e+10,1.0,1957.5229036224914,1.56e+05,820092.533411349,967.1143553245932,1.3889512037279334e-06,0.0,0.8072304337718499,0.2585672498524084,0.956706877326619,0.0,1189.37,
105,4720.7538,4.96e+10,1.0,1957.5229036224914,1.56e+05,820092.533411349,967.1143553245932,1.3889512037279334e-06,0.0,0.8072304337718499,0.2585672498524084,0.956706877326619,0.0,1189.37,
106,4774.0954,4.96e+10,1.0,1957.5229036224914,1.56e+05,820092.533411349,967.1143553245932,1.3889512037279334e-06,0.0,0.8072304337718499,0.2585672498524084,0.956706877326619,0.0,1189.37,
107,4827.5020,4.96e+10,1.0,1957.5229036224914,1.56e+05,820092.533411349,967.1143553245932,1.3889512037279334e-06,0.0,0.8072304337718499,0.2585672498524084,0.956706877326619,0.0,1189.37,
108,4879.8220,4.96e+10,1.0,1957.5229036224914,1.56e+05,820092.533411349,967.1143553245932,1.3889512037279334e-06,0.0,0.8072304337718499,0.2585672498524084,0.956706877326619,0.0,1189.37,
109,4936.4666,4.96e+10,1.0,1958.1857134648012,1.56e+05,820384.3216883951,966.6622734553196,1.3885347968200634e-06,0.0,0.8072802899002138,0.25865501669038526,0.9565884521679258,0.0,1189.37,
110,4988.1784,4.96e+10,1.0,1958.1857134648012,1.56e+05,820384.3216883951,966.6622734553196,1.3885347968200634e-06,0.0,0.8072802899002138,0.25865501669038526,0.9565884521679258,0.0,1189.37,
111,5035.8278,4.96e+10,1.0,1956.3421526143234,1.56e+05,819452.1485074302,966.82113559556,1.3884126405008807e-06,0.0,0.8065463415178491,0.2584053766563926,0.9564283839992778,0.0,1189.37,
112,5089.1714,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
113,5141.5121,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
114,5191.5306,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
115,5243.4089,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
116,5293.4064,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
117,5350.1761,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
118,5400.5921,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
119,5448.7890,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
120,5499.5498,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
121,5552.0696,4.96e+10,1.0,1957.518832677581,1.56e+05,820057.4801462479,966.8096731189494,1.3877753926408691e-06,0.0,0.8070742977246972,0.2585717452379941,0.956576879470648,0.0,1189.37,
