Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
93,33125.4430,4.48e+12,9.98e+13,1.99e+13,1.0,0.0,1048.6065602161448,2798.73526184398,0.09513291909288879,0.29806195531008167,2.98e+05,1.85e+05,2.60e+05,249949.23209163066,320039.4756730087,640990.7364278082,23495.86673514809,100000000.0,0.00011258915648324989,0.37122691992299905,0.4426763213620403,0.4666289118090491,0.9428756109656989,0.94,0.2931715924451062,0.22187145209255194,9.473118662460889e-05,0.0003563390619075363,1.4779117861965183,1.04471176336768,5.9413945033383175,0.0,0.0,0.0,1683.0,1235.0,
94,33361.5150,4.45e+12,9.87e+13,1.97e+13,1.0,0.0,1049.0525641433644,2772.1810624177115,0.09436973748746455,0.3008777684741445,2.95e+05,1.85e+05,2.61e+05,249893.118201356,319789.4356583865,655172.3507603315,23388.999860900494,100000000.0,0.00011258905314479384,0.3782038847508329,0.44267316990539696,0.45816604845006387,0.9427497341300277,0.94,0.293363169293867,0.21890377146163237,9.426577523562887e-05,0.00035714940261318093,1.5303119957856612,1.049633308472539,6.0082938589051595,0.0,0.0,0.0,1683.0,1235.0,
95,33603.2780,4.49e+12,9.85e+13,1.98e+13,1.0,0.0,1048.1761624386932,2809.042780468315,0.09556029478568387,0.3053954163944221,3.02e+05,1.85e+05,2.63e+05,250518.0185961665,320147.552605563,643710.0022295422,23456.89868760069,100000000.0,0.00011258652251005577,0.3797520896205021,0.4426732854620289,0.46475955270654823,0.9428791286302538,0.94,0.2929685714964497,0.22163380685020795,9.502664924912775e-05,0.0003587413753607156,1.4939084343537599,1.0416487840196686,5.8667489689110734,0.0,0.0,0.0,1683.0,1235.0,
96,33842.5930,4.51e+12,9.65e+13,1.97e+13,1.0,0.0,1047.2737890203132,2828.558167184638,0.09649514353156086,0.3130317747351187,3.07e+05,1.85e+05,2.68e+05,251837.44554345115,320141.08025502827,645954.5350566916,23407.121921744438,100000000.0,0.0001125837976205251,0.3922130263049214,0.44267021122853134,0.46262360089624893,0.9429043516198126,0.94,0.29273389817984935,0.22166143391722307,9.521177613498817e-05,0.0003614604912901355,1.5103804726967245,1.0361819915300852,5.768773134258877,0.0,0.0,0.0,1683.0,1235.0,
97,34078.7190,4.48e+12,9.55e+13,1.94e+13,1.0,0.0,1047.7416812161332,2804.895233743338,0.0954435374754242,0.3174523260507064,3.04e+05,1.85e+05,2.67e+05,250909.82820668857,320020.0777234603,659905.9707704409,23279.99996253543,100000000.0,0.00011258101164516102,0.398737056002879,0.44266852343904795,0.45488983168127883,0.9429537179591454,0.94,0.2928126381318328,0.21887009542442787,9.507569616104699e-05,0.000362916549002533,1.553827908515992,1.0388175000795785,5.829363114612711,0.0,0.0,0.0,1683.0,1235.0,
98,34327.2840,4.48e+12,9.43e+13,1.93e+13,1.0,0.0,1047.3674311075458,2798.964050006125,0.09553342838861231,0.32278527201767415,3.07e+05,1.85e+05,2.71e+05,252727.08514487714,319707.3072337712,665662.7732832922,23147.025097404592,100000000.0,0.00011257805858486563,0.40847988791297074,0.44266843212947404,0.44920350954270405,0.9431332158880934,0.94,0.2927063612298076,0.21820441239194233,9.513832547594937e-05,0.0003626643650388306,1.588835727793514,1.0378474123499912,5.8067824059942605,0.0,0.0,0.0,1683.0,1235.0,
99,34571.5790,4.47e+12,9.35e+13,1.92e+13,1.0,0.0,1047.3682358731112,2795.9392160817083,0.09547844531516701,0.3268891708763625,3.08e+05,1.85e+05,2.72e+05,253651.42045254994,319632.62898714014,669664.6968503576,23094.02465009589,100000000.0,0.00011257628143029319,0.41317565494378583,0.44266788423033254,0.4471188899722069,0.9431440527112251,0.94,0.29270352034082325,0.21729980832038034,9.507210303799532e-05,0.0003637322026755035,1.6099314481886793,1.0367897083866744,5.79876605226905,0.0,0.0,0.0,1683.0,1235.0,
100,34808.2360,4.45e+12,9.21e+13,1.90e+13,1.0,0.0,1047.5457516865556,2777.958719664617,0.0949260830069511,0.33404869439320856,3.06e+05,1.85e+05,2.74e+05,253366.63119168172,319495.3718702467,685878.403042567,22966.760420398918,100000000.0,0.00011257316728968644,0.4239471210210023,0.44266550439848346,0.439345029913232,0.9430860555115226,0.94,0.2928062901750961,0.21416447209533016,9.475120788421085e-05,0.0003665008117800252,1.660388586999272,1.0383050887259357,5.839817621945212,0.0,0.0,0.0,1683.0,1235.0,
101,35056.7870,4.47e+12,9.10e+13,1.88e+13,1.0,0.0,1047.1161139216647,2785.7934497431866,0.09549989899316055,0.34062736714255654,3.11e+05,1.85e+05,2.78e+05,255724.02048156376,319408.6844987756,688359.8922571065,22844.2532983221,100000000.0,0.00011257135856663509,0.43231123718293074,0.44266696211539863,0.43870846380881545,0.9431957108842897,0.94,0.2927639489747897,0.2141794065010434,9.467362184019694e-05,0.000367765403650531,1.681113838111493,1.0362008150313016,5.79835895862835,0.0,0.0,0.0,1683.0,1235.0,
102,35296.6750,4.45e+12,9.04e+13,1.86e+13,1.0,0.0,1047.3532439382159,2762.2983352904353,0.09512647348775038,0.3413103594915403,3.08e+05,1.85e+05,2.78e+05,256004.71985797078,319296.7115662771,697328.2744056319,22714.054410343484,100000000.0,0.00011256950234073101,0.4389734272097596,0.4426685882321494,0.4323109910891313,0.9430864831177688,0.94,0.29280450374918693,0.21223315267970683,9.462030638040779e-05,0.0003675425137615051,1.7160814097619235,1.0385033704608357,5.836989049356963,0.0,0.0,0.0,1683.0,1235.0,
