s,m,,1/s,W/m2/K,C,C
Time,"Wall thickness","mpua","mlrpua","Front HTC","Front T","Back T"
 9.4000000E+001, 7.9999827E-003, 9.9999565E-001, 3.8100083E-007, 1.5000000E+001, 2.5880109E+002, 7.9318893E+001
 9.5000000E+001, 7.9999808E-003, 9.9999523E-001, 4.1262285E-007, 1.5000000E+001, 2.5975357E+002, 8.0414726E+001
 9.6000000E+001, 7.9999790E-003, 9.9999481E-001, 4.4647203E-007, 1.5000000E+001, 2.6069714E+002, 8.1512939E+001
 9.7000000E+001, 7.9999771E-003, 9.9999434E-001, 4.8262871E-007, 1.5000000E+001, 2.6163223E+002, 8.2613396E+001
 9.8000000E+001, 7.9999752E-003, 9.9999380E-001, 5.2123181E-007, 1.5000000E+001, 2.6255963E+002, 8.3715919E+001
 9.9000000E+001, 7.9999724E-003, 9.9999321E-001, 5.6243420E-007, 1.5000000E+001, 2.6347821E+002, 8.4820358E+001
 1.0000000E+002, 7.9999706E-003, 9.9999261E-001, 6.0632993E-007, 1.5000000E+001, 2.6438846E+002, 8.5926559E+001
 1.0100000E+002, 7.9999678E-003, 9.9999195E-001, 6.5307614E-007, 1.5000000E+001, 2.6529105E+002, 8.7034348E+001
 1.0200000E+002, 7.9999650E-003, 9.9999124E-001, 7.0284204E-007, 1.5000000E+001, 2.6618524E+002, 8.8143616E+001
 1.0300000E+002, 7.9999613E-003, 9.9999052E-001, 7.5574695E-007, 1.5000000E+001, 2.6707150E+002, 8.9254211E+001
 1.0400000E+002, 7.9999585E-003, 9.9998969E-001, 8.1196407E-007, 1.5000000E+001, 2.6795041E+002, 9.0365997E+001
 1.0500000E+002, 7.9999547E-003, 9.9998879E-001, 8.7167939E-007, 1.5000000E+001, 2.6882147E+002, 9.1478821E+001
 1.0600000E+002, 7.9999510E-003, 9.9998790E-001, 9.3503974E-007, 1.5000000E+001, 2.6968500E+002, 9.2592575E+001
 1.0700000E+002, 7.9999464E-003, 9.9998689E-001, 1.0022312E-006, 1.5000000E+001, 2.7054114E+002, 9.3707153E+001
 1.0800000E+002, 7.9999426E-003, 9.9998581E-001, 1.0734308E-006, 1.5000000E+001, 2.7138974E+002, 9.4822418E+001
 1.0900000E+002, 7.9999380E-003, 9.9998468E-001, 1.1488315E-006, 1.5000000E+001, 2.7223148E+002, 9.5938255E+001
 1.1000000E+002, 7.9999324E-003, 9.9998343E-001, 1.2286579E-006, 1.5000000E+001, 2.7306665E+002, 9.7054527E+001
 1.1100000E+002, 7.9999268E-003, 9.9998212E-001, 1.3131307E-006, 1.5000000E+001, 2.7389474E+002, 9.8171181E+001
 1.1200000E+002, 7.9999212E-003, 9.9998075E-001, 1.4024346E-006, 1.5000000E+001, 2.7471628E+002, 9.9288078E+001
 1.1300000E+002, 7.9999156E-003, 9.9997920E-001, 1.4968114E-006, 1.5000000E+001, 2.7553174E+002, 1.0040514E+002
 1.1400000E+002, 7.9999082E-003, 9.9997765E-001, 1.5965311E-006, 1.5000000E+001, 2.7634033E+002, 1.0152222E+002
 1.1500000E+002, 7.9999017E-003, 9.9997592E-001, 1.7017620E-006, 1.5000000E+001, 2.7714285E+002, 1.0263928E+002
 1.1600000E+002, 7.9998942E-003, 9.9997413E-001, 1.8128011E-006, 1.5000000E+001, 2.7793970E+002, 1.0375622E+002
 1.1700000E+002, 7.9998858E-003, 9.9997216E-001, 1.9299546E-006, 1.5000000E+001, 2.7873050E+002, 1.0487292E+002
 1.1800000E+002, 7.9998774E-003, 9.9997014E-001, 2.0534446E-006, 1.5000000E+001, 2.7951553E+002, 1.0598934E+002
 1.1900000E+002, 7.9998681E-003, 9.9996793E-001, 2.1835704E-006, 1.5000000E+001, 2.8029535E+002, 1.0710535E+002
 1.2000000E+002, 7.9998588E-003, 9.9996561E-001, 2.3206808E-006, 1.5000000E+001, 2.8106949E+002, 1.0822091E+002
 1.2100000E+002, 7.9998486E-003, 9.9996316E-001, 2.4650071E-006, 1.5000000E+001, 2.8183810E+002, 1.0933593E+002
 1.2200000E+002, 7.9998383E-003, 9.9996054E-001, 2.6168616E-006, 1.5000000E+001, 2.8260175E+002, 1.1045033E+002
 1.2300000E+002, 7.9998262E-003, 9.9995774E-001, 2.7766532E-006, 1.5000000E+001, 2.8336020E+002, 1.1156406E+002
