Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
19,3792.9780,5.02e+12,1.36e+14,1.22e+13,1.0,0.0,691.5717599525012,872.5766902099572,0.07182349775949065,0.669830752401634,1.71e+05,3.08e+05,5.06e+05,287764.22773399286,482724.1575156936,836666.934832064,18531.972165766783,100000000.0,0.0003260337564356373,0.43771573019120297,0.5132340283579757,0.2870355010008997,0.6818445466977548,0.94,0.18655892654789694,0.11698046975602144,5.583763450162942e-05,0.00033990250359970556,1.734445204224548,3.0261055221218864,4.790876511145999,0.0,0.0,0.0,1683.0,1235.0,
20,3981.2550,5.07e+12,1.37e+14,1.16e+13,1.0,0.0,705.5444222943568,833.8410517035727,0.0707369742550098,0.6765075780182457,1.71e+05,3.07e+05,5.15e+05,289418.8311755672,488748.49051253777,838324.1842888126,17857.453211328982,100000000.0,0.0002932384920418457,0.4355148803008439,0.515374980545026,0.2652729755298324,0.693162519540427,0.94,0.1923393378811879,0.11413638600501833,5.4577155300773356e-05,0.00033178804740674223,1.7079438983272381,3.07732557802958,4.7704665046187245,0.0,0.0,0.0,1683.0,1235.0,
21,4174.1790,5.09e+12,1.41e+14,1.05e+13,1.0,0.0,752.2974000729328,814.0034859896004,0.06999482818958011,0.6827286638109245,1.71e+05,3.08e+05,5.25e+05,289306.1404914026,503313.81218614255,818113.3670214141,16973.703414684765,100000000.0,0.0002624251904023115,0.4356912716481768,0.5274144609945799,0.23219077267452098,0.7223117409201973,0.94,0.20887265496838764,0.1051728703388648,5.278642745174123e-05,0.0003198817407883915,1.7072726487143532,3.113114527353365,4.894560273878678,0.0,0.0,0.0,1683.0,1235.0,
22,4363.4740,5.09e+12,1.45e+14,8.67e+12,1.0,0.0,825.7645241937939,736.4835871541906,0.06710572535013326,0.6921754500345556,1.71e+05,3.05e+05,5.41e+05,287936.0797642079,521557.0851718962,794095.6251192922,15425.911484433149,100000000.0,0.00021820419142853047,0.43594464993280935,0.5331828958428706,0.1767350186524046,0.767077854882017,0.94,0.2347184169575589,0.09587947888248302,4.9490776419245156e-05,0.0003022197684053107,1.671364902430628,3.2174682593158845,4.9575765953555955,0.0,0.0,0.0,1683.0,1235.0,
23,4560.3180,5.05e+12,1.47e+14,7.82e+12,1.0,0.0,884.1825485451634,733.8272375459928,0.06692912939353887,0.6916480406758058,1.71e+05,3.02e+05,5.43e+05,282321.0895118917,531331.2314571992,771365.0384290861,14442.109341037718,100000000.0,0.00019495276394405886,0.43648158132631243,0.5339394180188948,0.15136104200831652,0.7990344939593161,0.94,0.25388792988995035,0.09182546603147708,4.8458084642429326e-05,0.00030048143236765547,1.6559714728738109,3.2915715445581366,5.04847621689844,0.0,0.0,0.0,1683.0,1235.0,
24,4745.5080,5.08e+12,1.48e+14,7.54e+12,1.0,0.0,885.7408682232356,694.7995520196865,0.06640950624279462,0.695192114614698,1.71e+05,3.02e+05,5.48e+05,283660.44040697056,533996.9697400703,770826.8448897226,14232.008709090966,100000000.0,0.00018968434109265978,0.4365545575211913,0.5352449579299233,0.14004996769045996,0.8019626024557956,0.94,0.25493568001479955,0.09027085821795061,4.7782588825743824e-05,0.00029642379707539893,1.6467699054093023,3.3130404739474333,5.056727224732013,0.0,0.0,0.0,1683.0,1235.0,
25,4937.7800,5.07e+12,1.47e+14,7.75e+12,1.0,0.0,882.5614700916447,727.7760555125276,0.06686422386059676,0.6914125586964985,1.71e+05,3.03e+05,5.45e+05,283475.33382905624,531987.2191091116,772872.6923464548,14424.903105262925,100000000.0,0.0001816388354927741,0.4360950919790436,0.5352857411777479,0.14889995117835603,0.8012938992328508,0.94,0.25446577501974665,0.09093822247850633,4.8047987808903924e-05,0.0003001056412069366,1.6518700250753091,3.30498934220331,5.076642978269441,0.0,0.0,0.0,1683.0,1235.0,
26,5123.7420,5.06e+12,1.47e+14,7.84e+12,1.0,0.0,875.7594134493917,720.9025426606399,0.0669434042196905,0.6920944445194097,1.71e+05,3.03e+05,5.45e+05,284138.1063075643,531023.9538714101,773269.3187032995,14487.069557331408,100000000.0,0.00017775458602486914,0.4367392570217372,0.5342224121812269,0.14918053892138536,0.7976809373921485,0.94,0.2517418931244155,0.09199566444202091,4.8104083772448795e-05,0.0003006253478772333,1.6495398418783322,3.305109922841901,5.057057878053916,0.0,0.0,0.0,1683.0,1235.0,
27,5315.9190,5.10e+12,1.47e+14,7.92e+12,1.0,0.0,878.4769634693449,718.0025112657818,0.06705670595534169,0.6930853861534745,1.71e+05,3.02e+05,5.46e+05,285388.5254506583,530471.6410133339,767926.6477626901,14446.953988881874,100000000.0,0.00017070608946382504,0.43642188235094537,0.5313562130729933,0.14693458188385583,0.8017509543310692,0.94,0.2512313759549587,0.09293411691817018,4.8337788273933224e-05,0.00030223242416269167,1.6480852577279395,3.288735918489807,5.063951862186801,0.0,0.0,0.0,1683.0,1235.0,
28,5499.9100,5.08e+12,1.45e+14,8.33e+12,1.0,0.0,874.4350003749635,750.8743600106816,0.06813502278744979,0.688949604801067,1.71e+05,3.02e+05,5.42e+05,285683.7672280801,524574.0860019473,758983.1730664654,14476.807617499022,100000000.0,0.00015953415203104828,0.436387360998174,0.5217142774615742,0.15850729619855752,0.7989334124410019,0.94,0.24805010682294715,0.09802232633348562,4.954033541805706e-05,0.0003132581714686086,1.65450076664637,3.3009366161793254,5.07775238984048,0.0,0.0,0.0,1683.0,1235.0,
